Data,Nazwa stacji,Lokalizacja,Województwo,Temperatura wody[°C]
2023-05-04,NAKIELNO,Jez. Bytyń Wielki,zachodniopomorskie,10.0
2023-05-04,JASIEŃ,Jez. Jasień Pd.,pomorskie,11.6
2023-05-04,LUBIESZEWO,Jez. Lubie,zachodniopomorskie,11.6
2023-05-04,JEZIORNA,Jez. Wdzydze,pomorskie,brak danych
2023-05-04,BORUCINO,Jez. Raduńskie Górne,pomorskie,brak danych
2023-05-04,IŁAWA,Jez. Jeziorak,warmińsko-mazurskie,11.7
2023-05-04,POWIDZ,Jez. Powidzkie,wielkopolskie,11.0
2023-05-04,KRUSZWICA,Jez. Gopło,kujawsko-pomorskie,13.8
2023-05-04,RADZYŃ,Jez. Sławskie,lubuskie,12.3
2023-05-04,BACHOTEK,Jez. Bachotek,kujawsko-pomorskie,13.4
2023-05-04,PRZYJEZIERZE,Jez. Morzycko,zachodniopomorskie,10.8
2023-05-04,SĘPÓLNO KRAJEŃSKIE,Jez. Sępoleńskie,kujawsko-pomorskie,brak danych
2023-05-04,CHARZYKOWY,Jez. Charzykowskie,pomorskie,brak danych
2023-05-04,PRZEŁAZY,Jez. Niesłysz,lubuskie,11.6
2023-05-05,SORDACHY,Jez. Selmęt Wielki,warmińsko-mazurskie,11.0
2023-05-05,MALDANIN,Jez. Roś,warmińsko-mazurskie,12.1
2023-05-05,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,12.8
2023-05-05,WRÓBEL,Jez. Hańcza,podlaskie,5.1
2023-05-05,WÓLKA,Jez. Rospuda Filipowska,podlaskie,8.8
2023-05-05,WIGRY,Jez. Wigry,podlaskie,10.6
2023-05-05,PRZEWIĘŹ,Jez. Białe Augustowskie,podlaskie,11.9
2023-05-05,PRZEWIĘŹ,Jez. Studzieniczne,podlaskie,11.4
2023-05-05,BORKI,Jez. Litygajno,warmińsko-mazurskie,11.6
2023-05-05,EŁK,Jez. Ełckie,warmińsko-mazurskie,10.7
2023-05-05,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-05-05,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,9.6
2023-05-05,NOWA PASŁĘKA,Zalew Wiślany,warmińsko-mazurskie,brak danych
2023-05-05,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,8.9
2023-05-05,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,11.3
2023-05-05,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,9.8
2023-05-05,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,11.1
2023-05-05,USTKA,Morze Bałtyckie,pomorskie,10.9
2023-05-05,WŁADYSŁAWOWO,Morze Bałtyckie,pomorskie,8.9
